Millis,Load_Cell,Linear_Pot (scaled),Velocity,Thermocouple
6216,-5.7,5.825,-33.41,
6227,-5.78,6.028,18.488,
6238,-5.88,5.97,-5.282,
6249,-6.09,5.898,-6.603,
6259,-6.22,5.81,-8.716,
6270,-6.36,5.723,-7.923,
6281,-6.39,5.687,-3.301,
6292,-6.32,5.614,-6.603,
6303,-6.55,5.963,31.693,
6313,-6.52,5.447,-51.567,
6325,-6.62,5.375,-6.052,
6335,-6.9,5.287,-8.716,
6346,-7.02,5.208,-7.263,
6356,-6.8,5.563,35.588,
6368,-6.76,5.07,-41.157,
6378,-6.92,4.982,-8.716,
6389,-7.11,4.902,-7.263,
6401,-7.14,4.823,-6.658,
6411,-7.09,4.757,-6.537,
6422,-7.15,4.67,-7.923,
6432,-7.3,4.583,-8.716,
6444,-7.37,4.503,-6.658,
6454,-7.33,4.423,-7.989,
6465,-7.33,4.343,-7.263,
6475,-7.38,4.285,-5.81,
6487,-7.46,4.176,-9.079,
6498,-7.34,4.096,-7.263,
6508,-7.34,4.024,-7.263,
6519,-7.39,3.922,-9.244,
6530,-7.26,3.864,-5.282,
6541,-7.42,3.573,-26.411,
6551,-7.27,3.748,17.431,
6562,-7.28,3.573,-15.846,
6573,-7.48,3.537,-3.301,
6584,-7.34,3.45,-7.923,
6595,-7.1,3.29,-14.526,
6605,-7.07,3.283,-0.726,
6617,-6.9,3.232,-4.237,
6627,-6.76,3.152,-7.989,
6638,-6.79,3.072,-7.263,
6648,-6.72,3,-7.263,
6660,-6.61,2.934,-5.447,
6670,-6.62,2.847,-8.716,
6681,-6.43,2.796,-4.622,
6691,-6.52,2.738,-5.81,
6703,-6.45,2.666,-6.052,
6714,-6.36,2.6,-5.942,
6724,-6.31,2.448,-15.252,
6724,Switched from 1 to 2,,,
6735,-6.09,2.469,1.981,
6746,-6.02,2.419,-4.622,
6757,-6.02,2.978,50.841,
6767,-5.79,2.331,-64.64,
6778,-5.61,2.201,-11.885,
6789,-5.45,2.208,0.66,
6800,-5.34,2.157,-4.622,
6811,-5.24,2.114,-3.962,
6821,-5.26,2.063,-5.084,
6833,-5.1,2.005,-4.842,
6843,-5.03,1.968,-3.631,
6854,-4.69,1.91,-5.282,
6864,-4.34,1.932,2.179,
6876,-4.22,1.852,-6.658,
6886,-4.07,1.816,-3.631,
6897,-3.98,1.787,-2.641,
6908,-3.97,1.75,-3.301,
6919,-3.8,1.714,-3.301,
6930,-3.48,1.685,-2.641,
6940,-3.34,1.67,-1.453,
6951,-3.31,1.641,-2.641,
6962,-3.04,1.569,-6.603,
6973,-2.73,1.591,1.981,
6983,-2.57,1.634,4.358,
6994,-2.32,1.583,-4.622,
7005,-1.97,1.576,-0.66,
7016,-1.54,1.569,-0.66,
7027,-1.15,1.562,-0.66,
7037,-0.55,1.562,0,
7049,0.28,1.569,0.605,
7059,0.6,1.576,0.726,
7070,1.06,1.598,1.981,
7080,1.85,1.627,2.905,
7092,2.36,1.634,0.605,
7102,2.41,1.627,-0.726,
7113,2.52,1.656,2.641,
7124,2.58,1.67,1.321,
7135,2.58,1.634,-3.301,
7146,2.75,1.736,9.244,
7156,2.87,1.823,8.716,
7168,2.92,1.816,-0.605,
7178,3.02,1.859,4.358,
7189,3.25,1.845,-1.321,
7199,3.55,1.954,10.894,
7211,3.78,1.997,3.631,
7222,3.98,2.063,5.942,
7232,4.2,2.128,6.537,
7243,4.54,2.172,3.962,
7254,5.07,2.237,5.942,
7265,5.6,2.324,7.923,
7275,6.08,2.382,5.81,
7286,6.8,2.666,25.75,
7297,7.84,2.52,-13.205,
7308,8.88,2.593,6.603,
7318,11.58,2.673,7.989,
7329,16.54,2.753,7.263,
7341,18.58,2.825,6.052,
7351,18.96,3.203,37.767,
7362,19.34,3.029,-15.846,
7372,19.4,3.116,8.716,
7384,19.66,3.21,7.868,
7394,20.13,3.297,8.716,
7405,20.48,3.392,8.583,
7416,20.6,3.501,9.904,
7427,20.66,3.581,7.263,
7438,21.1,3.69,9.904,
7448,21.44,3.769,7.989,
7459,21.3,3.857,7.923,
7470,21.35,3.966,9.904,
7481,21.71,4.104,12.545,
7491,21.79,4.409,30.504,
7502,21.84,4.292,-10.564,
7513,22.01,4.387,8.583,
7524,22.04,4.198,-17.167,
7535,21.69,4.612,37.635,
7545,21.79,4.677,6.537,
7557,22.11,4.859,15.131,
7567,21.96,4.895,3.631,
7578,21.67,5.004,9.904,
7588,21.6,5.106,10.168,
7600,21.47,5.193,7.263,
7610,21.2,5.316,12.347,
7621,21.11,5.505,17.167,
7632,21.13,5.491,-1.321,
7643,20.86,5.592,9.244,
7654,20.51,5.672,7.263,
7664,20.45,5.767,9.442,
7675,20.28,5.854,7.923,
7686,19.76,5.919,5.942,
7697,19.64,6.341,38.296,
7707,19.41,6.108,-23.241,
7718,18.95,6.195,7.923,
7730,18.49,6.275,6.658,
7740,18.38,6.348,7.263,
7751,17.98,6.399,4.622,
7761,17.74,6.486,8.716,
7773,17.49,6.558,6.052,
7783,17.22,6.631,7.263,
7794,16.61,6.675,3.962,
7804,16.19,6.733,5.81,
7816,15.81,6.805,6.052,
7827,15.27,6.856,4.622,
7837,14.72,6.907,5.084,
7848,14.41,6.922,1.321,
7859,14,6.987,5.942,
7870,13.2,7.023,3.301,
7880,12.78,7.067,4.358,
7891,12.4,7.089,1.981,
7902,11.85,7.118,2.641,
7913,11.42,7.139,1.981,
7924,10.81,7.154,1.321,
7934,10.41,7.154,0,
7946,9.92,7.183,2.421,
7956,9.16,7.183,0,
7967,8.45,7.183,0,
7977,7.32,7.176,-0.726,
7989,5.79,7.183,0.605,
7999,4.21,7.227,4.358,
8010,2.19,7.154,-6.603,
8020,0.71,7.139,-1.453,
8032,-0.67,7.089,-4.237,
8043,-1.99,7.06,-2.641,
8053,-2.42,7.045,-1.453,
8065,-2.77,7.001,-3.631,
8075,-2.98,6.98,-2.179,
8086,-3.34,6.929,-4.622,
8096,-3.62,6.878,-5.084,
8108,-4,6.827,-4.237,
8118,-4.33,6.762,-6.537,
8129,-4.64,6.711,-4.622,
8140,-5,6.595,-10.564,
8151,-5.42,6.558,-3.301,
8162,-5.59,6.515,-3.962,
8172,-5.88,6.442,-7.263,
8183,-6.11,6.377,-5.942,
8194,-6.18,6.304,-6.603,
8205,-6.32,6.239,-5.942,
8215,-6.54,6.144,-9.442,
8226,-6.68,5.905,-21.789,
8237,-6.83,5.854,-4.622,
8248,-7.38,5.643,-19.148,
8259,-7.85,5.767,11.225,
8269,-8.23,5.709,-5.81,
8281,-8.52,5.643,-5.447,
8291,-8.72,5.491,-15.252,
8302,-8.77,5.396,-8.583,
8312,-8.8,5.237,-15.978,
8324,-9,5.193,-3.631,
8334,-9.19,5.099,-9.442,
8345,-9.28,5.011,-7.923,
8356,-9.49,4.881,-11.885,
8367,-9.55,4.779,-9.244,
8378,-9.64,4.67,-9.904,
8388,-9.86,4.474,-19.61,
8399,-10.02,4.452,-1.981,
8410,-10.02,4.343,-9.904,
8421,-9.93,4.242,-9.244,
8431,-9.8,4.125,-11.621,
8442,-9.81,4.016,-9.904,
8454,-9.72,3.849,-13.921,
8464,-9.68,3.82,-2.905,
8475,-9.69,3.682,-12.545,
8485,-9.64,3.588,-9.442,
8497,-9.32,3.493,-7.868,
8507,-9.11,3.392,-10.168,
8518,-9.04,3.283,-9.904,
8528,-9.05,3.21,-7.263,
8540,-8.85,3.123,-7.263,
8551,-8.4,3.239,10.564,
8561,-8.44,2.912,-32.683,
8572,-8.29,2.84,-6.603,
8583,-8.05,2.651,-17.167,
8594,-7.77,2.644,-0.66,
8604,-7.61,2.622,-2.179,
8615,-7.47,2.506,-10.564,
8626,-7.18,2.426,-7.263,
8637,-6.99,2.353,-6.603,
8647,-6.85,2.259,-9.442,
8658,-6.67,2.208,-4.622,
8670,-6.47,2.208,0,
8680,-6.26,2.092,-11.621,
8691,-6.14,2.026,-5.942,
8701,-5.97,1.976,-5.084,
8713,-5.65,1.917,-4.842,
8723,-5.23,1.859,-5.81,
8734,-4.97,1.83,-2.641,
8744,-4.86,1.794,-3.631,
8756,-4.61,1.721,-6.052,
8767,-4.61,1.729,0.66,
8777,-4.36,1.7,-2.905,
8788,-3.91,1.656,-3.962,
8799,-3.51,1.634,-1.981,
8810,-3.09,1.547,-7.923,
8820,-2.97,1.612,6.537,
8832,-2.46,1.591,-1.816,
8842,-1.95,1.576,-1.453,
8853,-1.48,1.569,-0.66,
8864,-0.69,1.576,0.66,
8875,0.22,1.576,0,
8886,0.73,1.591,1.321,
8896,1.02,1.591,0,
8907,1.76,1.62,2.641,
8918,2.24,1.641,1.981,
8929,2.37,1.685,3.962,
8939,2.5,1.663,-2.179,
8950,2.69,1.707,3.962,
8961,2.87,1.743,3.301,
8972,2.81,1.758,1.321,
8983,2.89,1.794,3.301,
8993,3.08,1.917,12.347,
9005,3.17,1.896,-1.816,
9015,3.5,1.946,5.084,
9026,3.83,1.932,-1.321,
9036,3.98,2.07,13.8,
9048,4.64,2.157,7.263,
9058,5.1,2.179,2.179,
9069,5.49,2.244,5.942,
9080,6.06,2.31,5.942,
9091,6.55,2.375,5.942,
9102,7.21,2.448,6.603,
9112,8.07,2.542,9.442,
9123,9.82,2.615,6.603,
9134,14.07,2.687,6.603,
9145,17.68,2.76,6.603,
9155,18.52,2.862,10.168,
9166,19.05,2.956,8.583,
9178,19.47,2.912,-3.631,
9188,19.65,2.753,-15.978,
9199,19.82,3.225,42.917,
9209,20.31,3.334,10.894,
9221,20.83,3.82,40.551,
9231,20.81,3.515,-30.504,
9242,20.72,3.61,8.583,
9252,21.15,3.69,7.989,
9264,21.54,3.813,10.289,
9275,21.59,3.907,8.583,
9285,21.52,4.024,11.621,
9296,21.86,4.024,0,
