Millis,Load_Cell,Linear_Pot (scaled),Smoothed_Velocity,Velocity,Highpass_Velocity,Thermocouple
5612,-8.31,6.66,-9.252,-10.564,-10.564,
5622,-10.31,6.529,-11.074,-13.073,-13.073,
5634,-11.69,6.391,-11.407,-11.5,-11.5,
5644,-13.02,6.232,-13.536,-15.978,-15.978,
5655,-14.62,6.065,-14.373,-15.186,-15.186,
5665,-15.95,5.89,-15.848,-17.431,-17.431,
5677,-17.04,5.716,-15.299,-14.526,-14.526,
5687,-18.1,5.52,-17.293,-19.61,-19.61,
5698,-19.21,5.324,-17.542,-17.827,-17.827,
5709,-20.09,5.128,-17.744,-17.827,-17.827,
5720,-20.79,4.917,-18.436,-19.148,-19.148,
5731,-21.47,4.714,-18.535,-18.488,-18.488,
5741,-22,4.503,-19.642,-21.063,-21.063,
5752,-22.29,4.292,-19.45,-19.148,-19.148,
5763,-22.34,4.075,-19.671,-19.808,-19.808,
5774,-22.29,3.864,-19.452,-19.148,-19.148,
5785,-22.04,3.661,-19.021,-18.488,-18.488,
5795,-21.41,3.457,-19.558,-20.336,-20.336,
5807,-20.82,3.261,-18.001,-16.342,-16.342,
5817,-20.05,3.072,-18.347,-18.884,-18.884,
5828,-19.13,2.883,-17.754,-17.167,-17.167,
5838,-18.1,2.709,-17.576,-17.431,-17.431,
5850,-16.95,2.542,-15.773,-13.921,-13.921,
5860,-15.75,2.39,-15.507,-15.252,-15.252,
5871,-14.46,2.244,-14.334,-13.205,-13.205,
5882,-13.08,2.114,-13.123,-11.885,-11.885,
5893,-11.76,1.99,-12.159,-11.225,-11.225,
5904,-10.34,1.888,-10.751,-9.244,-9.244,
5914,-8.93,1.794,-10.054,-9.442,-9.442,
5925,-7.68,1.721,-8.352,-6.603,-6.603,
5936,-6.63,1.656,-7.144,-5.942,-5.942,
5947,-5.54,1.612,-5.566,-3.962,-3.962,
5958,-4.44,1.583,-4.112,-2.641,-2.641,
5968,-3.21,1.569,-2.794,-1.453,-1.453,
5980,-1.61,1.569,-1.347,0,0,
5990,0.33,1.576,-0.299,0.726,0.726,
6001,1.54,1.612,1.475,3.301,3.301,
6011,2.24,1.663,3.197,5.084,5.084,
6023,2.5,1.729,4.394,5.447,5.447,
6033,2.71,1.808,6.129,7.989,7.989,
6044,3.01,1.903,7.391,8.583,8.583,
6055,3.44,2.012,8.664,9.904,9.904,
6066,4.13,2.128,9.645,10.564,10.564,
6077,5.39,2.266,11.091,12.545,12.545,
6087,8.06,2.411,12.697,14.526,14.526,
6098,13.9,2.557,13.041,13.205,13.205,
6109,21.6,2.716,13.838,14.526,14.526,
6120,30.28,2.891,14.841,15.846,15.846,
6131,39.57,3.072,15.652,16.507,16.507,
6141,44.44,3.254,16.813,18.157,18.157,
6153,46.88,3.45,16.674,16.342,16.342,
6163,48.82,3.639,17.713,18.884,18.884,
6174,50.34,3.842,18.103,18.488,18.488,
6184,51.58,4.045,19.138,20.336,20.336,
6196,52.58,4.242,17.827,16.342,16.342,
6206,52.91,4.452,19.289,21.063,21.063,
6217,53,4.648,18.581,17.827,17.827,
6228,52.62,4.852,18.546,18.488,18.488,
6239,52.06,5.048,18.201,17.827,17.827,
